Mood,DateRaw,type,noteMood,date
Happy,"November 8, 2023 at 06:01PM",mood,,11/9/2023 8:01:00
Nervous,"November 8, 2023 at 06:41PM",mood,,11/9/2023 8:41:00
Nervous,"November 8, 2023 at 06:44PM",mood,,11/9/2023 8:44:00
Nervous,"November 8, 2023 at 06:44PM",mood,,11/9/2023 8:44:00
Happy,"November 8, 2023 at 06:44PM",mood,,11/9/2023 8:44:00
Nervous,"November 8, 2023 at 07:02PM",mood,,11/9/2023 9:02:00
Nervous,"November 8, 2023 at 07:17PM",mood,,11/9/2023 9:17:00
Nervous,"November 8, 2023 at 08:44PM",mood,,11/9/2023 10:44:00
Happy,"November 8, 2023 at 09:16PM",mood,,11/9/2023 11:16:00
Happy,"November 8, 2023 at 11:31PM",mood,,11/9/2023 13:31:00
Nervous,"November 8, 2023 at 11:51PM",mood,,11/9/2023 13:51:00
Nervous,"November 9, 2023 at 12:08AM",mood,,11/9/2023 14:08:00
Happy,"November 9, 2023 at 12:22AM",mood,,11/9/2023 14:22:00
Happy,"November 9, 2023 at 01:52AM",mood,,11/9/2023 15:52:00
Happy,"November 9, 2023 at 02:45AM",mood,,11/9/2023 16:45:00
Nervous,"November 9, 2023 at 02:58AM",mood,,11/9/2023 16:58:00
Nervous,"November 9, 2023 at 03:47AM",mood,,11/9/2023 17:47:00
Happy,"November 9, 2023 at 04:40AM",mood,,11/9/2023 18:40:00
Nervous,"November 9, 2023 at 04:58AM",mood,,11/9/2023 18:58:00
Happy,"November 9, 2023 at 04:58AM",mood,,11/9/2023 18:58:00
Confident,"November 9, 2023 at 04:59AM",goal,,11/9/2023 18:59:00
Happy,"November 9, 2023 at 05:15AM",mood,,11/9/2023 19:15:00
Happy,"November 09, 2023 at 05:20AM",mood,,11/9/2023 19:20:00
Happy,"November 9, 2023 at 06:09PM",mood,,11/10/2023 8:09:00
Confident,"November 9, 2023 at 06:51PM",goal,,11/10/2023 8:51:00
Мотивирующие песни бодрят (сделай что нибудь больше чем просто хайп),"November 09, 2023 at 07:12PM",note,,11/10/2023 9:12:00
Confident,"November 9, 2023 at 07:12PM",goal,,11/10/2023 9:12:00
Confident,"November 9, 2023 at 10:15PM",goal,,11/10/2023 12:15:00
Перепридцмал планирование на работе,"November 09, 2023 at 10:17PM",note,,11/10/2023 12:17:00
Nervous,"November 10, 2023 at 01:12AM",mood,,11/10/2023 15:12:00
Nervous,"November 10, 2023 at 02:09AM",mood,,11/10/2023 16:09:00
Nervous,"November 10, 2023 at 02:42AM",mood,,11/10/2023 16:42:00
Confident,"November 10, 2023 at 03:57AM",goal,,11/10/2023 17:57:00
Happy,"November 10, 2023 at 06:17AM",mood,,11/10/2023 20:17:00
Nervous,"November 10, 2023 at 10:23AM",mood,,11/11/2023 0:23:00
"Нервничаю - посмотрел подкаст с суцкевером. Начал гнобить себя, но осознаю и останавливаю","November 10, 2023 at 10:24AM",note,,11/11/2023 0:24:00
Nervous,"November 10, 2023 at 07:15PM",mood,,11/11/2023 9:15:00
Nervous,"November 10, 2023 at 07:57PM",mood,,11/11/2023 9:57:00
Нервы. Просыпался со скандалом от Т,"November 10, 2023 at 07:57PM",note,,11/11/2023 9:57:00
Nervous,"November 10, 2023 at 09:17PM",mood,,11/11/2023 11:17:00
Nervous,"November 10, 2023 at 09:50PM",mood,,11/11/2023 11:50:00
Confident,"November 10, 2023 at 10:01PM",goal,,11/11/2023 12:01:00
Happy,"November 10, 2023 at 11:17PM",mood,,11/11/2023 13:17:00
